Which of the following do you use?,"Where are you likely to consume/receive content related to work? (i.e. professional advice, blogs, learning & development etc.)","If a friend sends you a post, what is most likely to PREVENT you from sharing it with others?",What kind of content do you usually share?,Where are you likely to share professional/work related content?,Your Country,State( if applicable),City
Whatsapp;Slack;Google+;Facebook;Medium;LinkedIN;YouTube,Links shared on whatsapp;LinkedIn Feed;Slack communities;Personal Email,"I will have to figure out who is the right audience, this is too much work so I don't do it",Funny Videos;Jokes;Youtube Videos;Knowledge/Blog posts/professional content,Slack;Whatsapp Groups;LinkedIn Groups,India,Karnataka,Bengaluru
Whatsapp;Facebook;YouTube,LinkedIn Feed;LinkedIn Groups,I consider it spamming,Information Forwards;Knowledge/Blog posts/professional content,Whatsapp Groups;LinkedIn Groups,India,Karnataka,Bengaluru
Whatsapp;Facebook;YouTube,Facebook;Official Email,"I will have to figure out who is the right audience, this is too much work so I don't do it",Information Forwards;News;Knowledge/Blog posts/professional content,Office Communicator/Lync/Skype;Slack;Work Email,India,Karnataka,Bengaluru
Whatsapp;Facebook;LinkedIN;YouTube,Links shared on whatsapp;Facebook;LinkedIn Groups;Facebook groups;Personal Email;Official Email,"If somebody I know has produced the content, I don't share it because it feels like promotion",Funny Videos;Jokes;Information Forwards;Trending entertainment articles;Youtube Videos;News;Photographs;Knowledge/Blog posts/professional content,Whatsapp Groups;Facebook Groups;Personal Email,India,Karnataka,Bengaluru
Whatsapp;Facebook;LinkedIN;YouTube,Links shared on whatsapp;Facebook;Facebook groups;Personal Email,"If somebody I know has produced the content, I don't share it because it feels like promotion",Funny Videos;Jokes;Information Forwards;Trending entertainment articles;Photographs,Whatsapp Groups;Facebook Groups,India,Karnataka,Belgaum
Whatsapp;Slack;Google+,Links shared on whatsapp;LinkedIn Feed;LinkedIn Groups;Official Email,I consider it spamming,Information Forwards;News;Knowledge/Blog posts/professional content,Office Communicator/Lync/Skype;Whatsapp Groups;Work Email,India,Karnataka,Bengaluru
Whatsapp;Slack;Google+;Facebook;YouTube,Official Email,Share it only to the people related to it.,Memes;Jokes;Trending entertainment articles;News;Knowledge/Blog posts/professional content,Office Communicator/Lync/Skype;Slack;Whatsapp Groups;Work Email,India,Tamil Nadu,Chennai
Whatsapp;Facebook,Personal Email;Official Email,"I will have to figure out who is the right audience, this is too much work so I don't do it",Jokes;Information Forwards;News,I don't share any content,India,Karnataka,Bengaluru
Whatsapp,LinkedIn Feed,Laziness,News,LinkedIn Groups,USA,Wisconsin,Milwaukee
Whatsapp;Google+;Facebook;LinkedIN;YouTube,Links shared on whatsapp;Facebook;LinkedIn Groups,"I will have to figure out who is the right audience, this is too much work so I don't do it",Funny Videos;Memes;Jokes;Information Forwards;Trending entertainment articles;Youtube Videos;News;Photographs;Knowledge/Blog posts/professional content,Office Communicator/Lync/Skype;Slack;Whatsapp Groups;Facebook Groups,India,Tamil Nadu,Coimbatore 
Whatsapp;Facebook;YouTube,Facebook;Facebook groups;Personal Email;Official Email,Explicit Content,Funny Videos;Jokes;Information Forwards;News;Photographs;Knowledge/Blog posts/professional content,Office Communicator/Lync/Skype;Whatsapp Groups;Facebook Groups;Work Email;Facebook Wall;Personal Email,India,Karnataka,Bengaluru
Whatsapp;Facebook;Medium,Facebook groups;Personal Email;Official Email,Laziness,Funny Videos;Memes;Jokes;Information Forwards;Trending entertainment articles;Youtube Videos;News;Photographs;Knowledge/Blog posts/professional content,Whatsapp Groups;Facebook Wall,India,Tamil Nadu,Chennai
Whatsapp;Google+;Facebook;LinkedIN;YouTube,LinkedIn Groups;Personal Email;Official Email,"If somebody I know has produced the content, I don't share it because it feels like promotion",Funny Videos;Memes;Jokes;Information Forwards;News,Office Communicator/Lync/Skype;Work Email,USA,Colorado,Colorado springs
Slack;Facebook;Medium;LinkedIN;YouTube,LinkedIn Feed;Facebook groups;Slack communities;Personal Email,"I will have to figure out who is the right audience, this is too much work so I don't do it",Information Forwards;Knowledge/Blog posts/professional content,Office Communicator/Lync/Skype;Slack;LinkedIn Groups;Facebook Groups;Twitter,Australia,ACT,Canberra
Whatsapp;Slack;Medium,Slack communities;Personal Email,Laziness,Jokes;News;Knowledge/Blog posts/professional content,Slack;Work Email,UK,,London
Whatsapp;Slack;Facebook;Medium;LinkedIN;YouTube,Links shared on whatsapp;LinkedIn Feed;Facebook;LinkedIn Groups;Facebook groups;Slack communities;Personal Email,"I will have to figure out who is the right audience, this is too much work so I don't do it",Funny Videos;Knowledge/Blog posts/professional content,Slack;Whatsapp Groups,Australia,Victoria,Melbourne
Whatsapp,Links shared on whatsapp,Explicit Content,Funny Videos,Whatsapp Groups,India,Karnataka,Bengaluru
Whatsapp;Slack;Facebook;Medium;LinkedIN,Slack communities;Twitter,I consider it spamming,Memes;Knowledge/Blog posts/professional content,Slack;LinkedIn Groups,India,Goa,Panjim
Whatsapp;Facebook;YouTube,Links shared on whatsapp;Personal Email,"I will have to figure out who is the right audience, this is too much work so I don't do it",Funny Videos;Memes;Information Forwards,Office Communicator/Lync/Skype;Whatsapp Groups,India,Karnataka,Bengaluru
Whatsapp;Facebook;LinkedIN;YouTube,LinkedIn Feed;Facebook groups;Personal Email;Official Email,"Only if it is relevant information, I share it. ",Trending entertainment articles;Youtube Videos;Knowledge/Blog posts/professional content,Work Email;Personal Email,India,Karnataka,Bengaluru
Whatsapp;Slack;Facebook;LinkedIN;YouTube,LinkedIn Feed;Slack communities;Official Email,I consider it spamming,Funny Videos;Memes;Jokes,Slack;I usually don't share this type of content,India,Karnataka,Bengaluru
Whatsapp;Google+;Facebook;LinkedIN;YouTube,LinkedIn Feed;LinkedIn Groups;Personal Email,Laziness,Funny Videos;Memes;Jokes;Information Forwards;Youtube Videos;News;Photographs,Office Communicator/Lync/Skype;I usually don't share this type of content,India,Karnataka,Bengaluru
Whatsapp;Slack;LinkedIN,Personal Email;Official Email,"I will have to figure out who is the right audience, this is too much work so I don't do it",Knowledge/Blog posts/professional content,I usually don't share this type of content;I don't share any content,India,Karnataka,Bengaluru
Whatsapp;LinkedIN,Internet,"I will have to figure out who is the right audience, this is too much work so I don't do it",Funny Videos;Memes;Jokes;Information Forwards;Trending entertainment articles;Youtube Videos;News;Photographs;Knowledge/Blog posts/professional content,Work Email,India,Telangana,Hyderabad
